month,currency,rate_to_usd
2023-01,USD,1.0
2023-01,EUR,1.085
2023-02,USD,1.0
2023-02,EUR,1.092
2023-03,USD,1.0
2023-03,EUR,1.078
2023-04,USD,1.0
2023-04,EUR,1.103
2023-05,USD,1.0
2023-05,EUR,1.089
2023-06,USD,1.0
2023-06,EUR,1.096
2023-07,USD,1.0
2023-07,EUR,1.112
2023-08,USD,1.0
2023-08,EUR,1.087
2023-09,USD,1.0
2023-09,EUR,1.098
2023-10,USD,1.0
2023-10,EUR,1.076
2023-11,USD,1.0
2023-11,EUR,1.091
2023-12,USD,1.0
2023-12,EUR,1.105
2024-01,USD,1.0
2024-01,EUR,1.083
2024-02,USD,1.0
2024-02,EUR,1.094
2024-03,USD,1.0
2024-03,EUR,1.101
2024-04,USD,1.0
2024-04,EUR,1.088
2024-05,USD,1.0
2024-05,EUR,1.095
2024-06,USD,1.0
2024-06,EUR,1.107
2024-07,USD,1.0
2024-07,EUR,1.084
2024-08,USD,1.0
2024-08,EUR,1.099
2024-09,USD,1.0
2024-09,EUR,1.092
2024-10,USD,1.0
2024-10,EUR,1.086
2024-11,USD,1.0
2024-11,EUR,1.102
2024-12,USD,1.0
2024-12,EUR,1.091
2025-01,USD,1.0
2025-01,EUR,1.097
2025-02,USD,1.0
2025-02,EUR,1.083
2025-03,USD,1.0
2025-03,EUR,1.104
2025-04,USD,1.0
2025-04,EUR,1.089
2025-05,USD,1.0
2025-05,EUR,1.095
2025-06,USD,1.0
2025-06,EUR,1.108
2025-07,USD,1.0
2025-07,EUR,1.087
2025-08,USD,1.0
2025-08,EUR,1.101
2025-09,USD,1.0
2025-09,EUR,1.093
2025-10,USD,1.0
2025-10,EUR,1.088
2025-11,USD,1.0
2025-11,EUR,1.106
2025-12,USD,1.0
2025-12,EUR,1.094
