month,entity,cash_usd
2023-01,Consolidated,6000000
2023-02,Consolidated,5950000
2023-03,Consolidated,5890000
2023-04,Consolidated,5825000
2023-05,Consolidated,5775000
2023-06,Consolidated,5710000
2023-07,Consolidated,5645000
2023-08,Consolidated,5590000
2023-09,Consolidated,5530000
2023-10,Consolidated,5480000
2023-11,Consolidated,5425000
2023-12,Consolidated,5370000
2024-01,Consolidated,5315000
2024-02,Consolidated,5260000
2024-03,Consolidated,5200000
2024-04,Consolidated,5145000
2024-05,Consolidated,5085000
2024-06,Consolidated,5025000
2024-07,Consolidated,4965000
2024-08,Consolidated,4910000
2024-09,Consolidated,4850000
2024-10,Consolidated,4795000
2024-11,Consolidated,4740000
2024-12,Consolidated,4680000
2025-01,Consolidated,4625000
2025-02,Consolidated,4565000
2025-03,Consolidated,4510000
2025-04,Consolidated,4450000
2025-05,Consolidated,4395000
2025-06,Consolidated,4335000
2025-07,Consolidated,4280000
2025-08,Consolidated,4220000
2025-09,Consolidated,4165000
2025-10,Consolidated,4105000
2025-11,Consolidated,4050000
2025-12,Consolidated,3990000
