month,entity,account_category,amount,currency
2023-01,ParentCo,Revenue,400000,USD
2023-01,ParentCo,COGS,56000,USD
2023-01,ParentCo,Opex:Marketing,72000,USD
2023-01,ParentCo,Opex:Sales,44000,USD
2023-01,ParentCo,Opex:R&D,32000,USD
2023-01,ParentCo,Opex:Admin,24000,USD
2023-01,EMEA,Revenue,103000,EUR
2023-01,EMEA,COGS,15450,EUR
2023-01,EMEA,Opex:Marketing,14420,EUR
2023-01,EMEA,Opex:Sales,9270,EUR
2023-01,EMEA,Opex:Admin,5150,EUR
2023-02,ParentCo,Revenue,441000,USD
2023-02,ParentCo,COGS,61740,USD
2023-02,ParentCo,Opex:Marketing,79380,USD
2023-02,ParentCo,Opex:Sales,48510,USD
2023-02,ParentCo,Opex:R&D,35280,USD
2023-02,ParentCo,Opex:Admin,26460,USD
2023-02,EMEA,Revenue,113400,EUR
2023-02,EMEA,COGS,17010,EUR
2023-02,EMEA,Opex:Marketing,15876,EUR
2023-02,EMEA,Opex:Sales,10206,EUR
2023-02,EMEA,Opex:Admin,5670,EUR
2023-03,ParentCo,Revenue,467250,USD
2023-03,ParentCo,COGS,65415,USD
2023-03,ParentCo,Opex:Marketing,84105,USD
2023-03,ParentCo,Opex:Sales,51399,USD
2023-03,ParentCo,Opex:R&D,37380,USD
2023-03,ParentCo,Opex:Admin,28035,USD
2023-03,EMEA,Revenue,116640,EUR
2023-03,EMEA,COGS,17496,EUR
2023-03,EMEA,Opex:Marketing,16330,EUR
2023-03,EMEA,Opex:Sales,10498,EUR
2023-03,EMEA,Opex:Admin,5832,EUR
2023-04,ParentCo,Revenue,456750,USD
2023-04,ParentCo,COGS,63945,USD
2023-04,ParentCo,Opex:Marketing,82215,USD
2023-04,ParentCo,Opex:Sales,50243,USD
2023-04,ParentCo,Opex:R&D,36540,USD
2023-04,ParentCo,Opex:Admin,27405,USD
2023-04,EMEA,Revenue,120960,EUR
2023-04,EMEA,COGS,18144,EUR
2023-04,EMEA,Opex:Marketing,16934,EUR
2023-04,EMEA,Opex:Sales,10886,EUR
2023-04,EMEA,Opex:Admin,6048,EUR
2023-05,ParentCo,Revenue,488250,USD
2023-05,ParentCo,COGS,68355,USD
2023-05,ParentCo,Opex:Marketing,87885,USD
2023-05,ParentCo,Opex:Sales,53708,USD
2023-05,ParentCo,Opex:R&D,39060,USD
2023-05,ParentCo,Opex:Admin,29295,USD
2023-05,EMEA,Revenue,127440,EUR
2023-05,EMEA,COGS,19116,EUR
2023-05,EMEA,Opex:Marketing,17842,EUR
2023-05,EMEA,Opex:Sales,11470,EUR
2023-05,EMEA,Opex:Admin,6372,EUR
2023-06,ParentCo,Revenue,514500,USD
2023-06,ParentCo,COGS,72030,USD
2023-06,ParentCo,Opex:Marketing,92610,USD
2023-06,ParentCo,Opex:Sales,56595,USD
2023-06,ParentCo,Opex:R&D,41160,USD
2023-06,ParentCo,Opex:Admin,30870,USD
2023-06,EMEA,Revenue,124200,EUR
2023-06,EMEA,COGS,18630,EUR
2023-06,EMEA,Opex:Marketing,17388,EUR
2023-06,EMEA,Opex:Sales,11178,EUR
2023-06,EMEA,Opex:Admin,6210,EUR
2023-07,ParentCo,Revenue,509250,USD
2023-07,ParentCo,COGS,71295,USD
2023-07,ParentCo,Opex:Marketing,91665,USD
2023-07,ParentCo,Opex:Sales,56018,USD
2023-07,ParentCo,Opex:R&D,40740,USD
2023-07,ParentCo,Opex:Admin,30555,USD
2023-07,EMEA,Revenue,135000,EUR
2023-07,EMEA,COGS,20250,EUR
2023-07,EMEA,Opex:Marketing,18900,EUR
2023-07,EMEA,Opex:Sales,12150,EUR
2023-07,EMEA,Opex:Admin,6750,EUR
2023-08,ParentCo,Revenue,535500,USD
2023-08,ParentCo,COGS,74970,USD
2023-08,ParentCo,Opex:Marketing,96390,USD
2023-08,ParentCo,Opex:Sales,58905,USD
2023-08,ParentCo,Opex:R&D,42840,USD
2023-08,ParentCo,Opex:Admin,32130,USD
2023-08,EMEA,Revenue,142560,EUR
2023-08,EMEA,COGS,21384,EUR
2023-08,EMEA,Opex:Marketing,19958,EUR
2023-08,EMEA,Opex:Sales,12830,EUR
2023-08,EMEA,Opex:Admin,7128,EUR
2023-09,ParentCo,Revenue,519750,USD
2023-09,ParentCo,COGS,72765,USD
2023-09,ParentCo,Opex:Marketing,93555,USD
2023-09,ParentCo,Opex:Sales,57173,USD
2023-09,ParentCo,Opex:R&D,41580,USD
2023-09,ParentCo,Opex:Admin,31185,USD
2023-09,EMEA,Revenue,138240,EUR
2023-09,EMEA,COGS,20736,EUR
2023-09,EMEA,Opex:Marketing,19354,EUR
2023-09,EMEA,Opex:Sales,12442,EUR
2023-09,EMEA,Opex:Admin,6912,EUR
2023-10,ParentCo,Revenue,546000,USD
2023-10,ParentCo,COGS,76440,USD
2023-10,ParentCo,Opex:Marketing,98280,USD
2023-10,ParentCo,Opex:Sales,60060,USD
2023-10,ParentCo,Opex:R&D,43680,USD
2023-10,ParentCo,Opex:Admin,32760,USD
2023-10,EMEA,Revenue,149040,EUR
2023-10,EMEA,COGS,22356,EUR
2023-10,EMEA,Opex:Marketing,20866,EUR
2023-10,EMEA,Opex:Sales,13414,EUR
2023-10,EMEA,Opex:Admin,7452,EUR
2023-11,ParentCo,Revenue,561750,USD
2023-11,ParentCo,COGS,78645,USD
2023-11,ParentCo,Opex:Marketing,101115,USD
2023-11,ParentCo,Opex:Sales,61793,USD
2023-11,ParentCo,Opex:R&D,44940,USD
2023-11,ParentCo,Opex:Admin,33705,USD
2023-11,EMEA,Revenue,153360,EUR
2023-11,EMEA,COGS,23004,EUR
2023-11,EMEA,Opex:Marketing,21470,EUR
2023-11,EMEA,Opex:Sales,13802,EUR
2023-11,EMEA,Opex:Admin,7668,EUR
2023-12,ParentCo,Revenue,588000,USD
2023-12,ParentCo,COGS,82320,USD
2023-12,ParentCo,Opex:Marketing,105840,USD
2023-12,ParentCo,Opex:Sales,64680,USD
2023-12,ParentCo,Opex:R&D,47040,USD
2023-12,ParentCo,Opex:Admin,35280,USD
2023-12,EMEA,Revenue,156600,EUR
2023-12,EMEA,COGS,23490,EUR
2023-12,EMEA,Opex:Marketing,21924,EUR
2023-12,EMEA,Opex:Sales,14094,EUR
2023-12,EMEA,Opex:Admin,7830,EUR
2024-01,ParentCo,Revenue,572250,USD
2024-01,ParentCo,COGS,80115,USD
2024-01,ParentCo,Opex:Marketing,103005,USD
2024-01,ParentCo,Opex:Sales,62947,USD
2024-01,ParentCo,Opex:R&D,45780,USD
2024-01,ParentCo,Opex:Admin,34335,USD
2024-01,EMEA,Revenue,159840,EUR
2024-01,EMEA,COGS,23976,EUR
2024-01,EMEA,Opex:Marketing,22378,EUR
2024-01,EMEA,Opex:Sales,14384,EUR
2024-01,EMEA,Opex:Admin,7992,EUR
2024-02,ParentCo,Revenue,603750,USD
2024-02,ParentCo,COGS,84525,USD
2024-02,ParentCo,Opex:Marketing,108675,USD
